PCAS,logKdoc,Category,CrippenLogP,SlogP_VSA1,ErGFP285_RDKit,FCFPs2048_1787_RDKit,RDKFP97_RDKit,RDKFP1999_RDKit,ExtFP215,SECFP1727_RDKit,ExtFP979,RDKFP870_RDKit,SECFP1805_RDKit,PharmFP16632_RDKit,SECFP617_RDKit,MATS2m,PatternFP730_RDKit,PatternFP654_RDKit,FuncFP3064_RDKit,SECFP1315_RDKit,RDKFP1925_RDKit,FuncFP2428_RDKit,GraphFP554,RDKFP834_RDKit,Mor29m_R,PatternFP1783_RDKit,RDKFP629_RDKit,ECFPs1024_998_RDKit,RDKFP2034_RDKit
p000049,5.67,1,5.7372,0,0.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.123,1,0,0,0
p000050,7.02,2,6.3282,0,2.3,0,0,0,0,0,0,0,0,0,0,-0.016528926,1,1,0,0,1,0,1,0,0.174,1,0,1,0
p000051,5.51,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.2,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,4.53,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,4.87,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.66,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,4.83,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.33,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.2,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.03,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,4.86,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.981,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.826,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,6.041,1,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.94,2,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,5.944,3,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,6.23,3,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000051,6.38,3,5.7372,0,0.6,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,0,0,1,0,0.258,1,0,0,0
p000052,6.22,2,5.7372,0,1.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,1,0,1,0,0.162,1,0,1,0
p000052,6.96,3,5.7372,0,1.3,0,0,0,0,0,0,0,0,0,0,-0.04,1,1,0,0,1,0,1,0,0.162,1,0,1,0
p000053,5.41,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.91,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.75,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.61,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.14,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.699,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.301,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.954,1,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.18,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.93,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.964,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.954,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.954,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.778,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.845,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.041,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.954,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.903,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.903,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.903,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.903,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.699,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.954,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.079,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.114,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.204,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.778,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.477,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.845,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.43,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.58,2,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.5,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,5.11,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.86,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
p000053,4.529,3,4.584,0,0,0,0,0,0,0,0,0,0,0,0,-0.052083333,1,0,0,0,1,0,1,0,0.243,0,0,0,0
